source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
vfdb,420,VT,short_15_60min,0.3972644382052951,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,vfdb_420_clean.npz,I0,none,50,0.08,5,2973,0,543,543,1599,1,0.12426110161675347,0.27300333658854165,1109,57,57,0.4701409961685824,0.5526287782034908,0.0,0.20306513409961685,
vfdb,420,VT,short_15_60min,0.3972644382052951,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,vfdb_420_clean.npz,I-mod,modulate,50,0.08,5,2973,0,543,543,1599,1,0.12426110161675347,0.27300333658854165,1109,57,57,0.4701409961685824,0.5526287782034908,0.0,0.20306513409961685,
vfdb,420,VT,short_15_60min,0.3972644382052951,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,vfdb_420_clean.npz,I-confirm,confirm,50,0.12,8,2973,0,543,543,1599,0,nan,nan,,0,0,0.4701409961685824,0.5526287782034908,0.0,0.013409961685823755,
vfdb,420,VT,short_15_60min,0.3972644382052951,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,vfdb_420_clean.npz,OPS-S1,n/a,50,0.08,5,2973,0,543,543,1599,1,0.12426110161675347,0.27300333658854165,1109,57,57,0.4701409961685824,nan,nan,0.20306513409961685,
vfdb,421,VT,too_short,0.24837554931640626,0.0,0.07451266479492187,0.17386288452148438,0.24837554931640626,vfdb_421_clean.npz,I0,none,50,0.08,5,4415,0,479,479,1590,1,0.11459665934244792,0.13377888997395834,861,36,36,0.41199917525773194,0.5888888888888888,0.0,0.026804123711340205,
vfdb,421,VT,too_short,0.24837554931640626,0.0,0.07451266479492187,0.17386288452148438,0.24837554931640626,vfdb_421_clean.npz,I-mod,modulate,50,0.08,5,4415,0,479,479,1590,1,0.11459665934244792,0.13377888997395834,861,36,36,0.41199917525773194,0.5888888888888888,0.0,0.026804123711340205,
vfdb,421,VT,too_short,0.24837554931640626,0.0,0.07451266479492187,0.17386288452148438,0.24837554931640626,vfdb_421_clean.npz,I-confirm,confirm,50,0.12,8,4415,0,479,479,1590,0,nan,nan,,0,0,0.41199917525773194,0.5888888888888888,0.0,0.0,
vfdb,421,VT,too_short,0.24837554931640626,0.0,0.07451266479492187,0.17386288452148438,0.24837554931640626,vfdb_421_clean.npz,OPS-S1,n/a,50,0.08,5,4415,0,479,479,1590,1,0.11459665934244792,0.13377888997395834,861,36,36,0.41199917525773194,nan,nan,0.026804123711340205,
vfdb,422,VT,short_15_60min,0.37023444281684026,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,vfdb_422_clean.npz,I0,none,50,0.08,5,3973,0,759,759,2270,1,0.24281222025553384,0.12742222256130642,782,51,51,0.4405832898172324,0.5579126776907456,0.0,0.0,
vfdb,422,VT,short_15_60min,0.37023444281684026,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,vfdb_422_clean.npz,I-mod,modulate,50,0.08,5,3973,0,759,759,2270,1,0.24281222025553384,0.12742222256130642,782,51,51,0.4405832898172324,0.5579126776907456,0.0,0.0,
vfdb,422,VT,short_15_60min,0.37023444281684026,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,vfdb_422_clean.npz,I-confirm,confirm,50,0.12,8,3973,0,759,759,2270,1,0.24181221856011284,0.12842222425672742,788,34,34,0.4405832898172324,0.5579126776907456,0.0,0.0,
vfdb,422,VT,short_15_60min,0.37023444281684026,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,vfdb_422_clean.npz,OPS-S1,n/a,50,0.08,5,3973,0,759,759,2270,1,0.24281222025553384,0.12742222256130642,782,51,51,0.4405832898172324,nan,nan,0.0,
vfdb,423,VT,too_short,0.24957222832573786,0.0,0.07487166849772135,0.1747005598280165,0.24957222832573786,vfdb_423_clean.npz,I0,none,50,0.08,5,2860,0,328,328,1105,1,0.10437445746527779,0.14519777086046007,639,9,9,0.40045165165165175,0.5937604270937604,0.0,0.03903903903903904,
vfdb,423,VT,too_short,0.24957222832573786,0.0,0.07487166849772135,0.1747005598280165,0.24957222832573786,vfdb_423_clean.npz,I-mod,modulate,50,0.08,5,2860,0,328,328,1105,1,0.10437445746527779,0.14519777086046007,639,9,9,0.40045165165165175,0.5937604270937604,0.0,0.03903903903903904,
vfdb,423,VT,too_short,0.24957222832573786,0.0,0.07487166849772135,0.1747005598280165,0.24957222832573786,vfdb_423_clean.npz,I-confirm,confirm,50,0.12,8,2860,0,328,328,1105,0,nan,nan,,0,0,0.40045165165165175,0.5937604270937604,0.0,0.0,
vfdb,423,VT,too_short,0.24957222832573786,0.0,0.07487166849772135,0.1747005598280165,0.24957222832573786,vfdb_423_clean.npz,OPS-S1,n/a,50,0.08,5,2860,0,328,328,1105,1,0.10437445746527779,0.14519777086046007,639,9,9,0.40045165165165175,nan,nan,0.03903903903903904,
vfdb,424,VFIB,short_15_60min,0.3497211032443576,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,vfdb_424_clean.npz,I0,none,50,0.08,5,3894,0,909,909,2682,1,0.22591888427734375,0.12380221896701389,965,22,22,0.4362600461893764,0.5566140620990505,0.0023094688221709007,0.005773672055427252,
vfdb,424,VFIB,short_15_60min,0.3497211032443576,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,vfdb_424_clean.npz,I-mod,modulate,50,0.08,5,3894,0,909,909,2682,1,0.22591888427734375,0.12380221896701389,965,22,22,0.4362600461893764,0.5566140620990505,0.0023094688221709007,0.005773672055427252,
