record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
18177,nsrdb_18177_clean.npz,False,,R5_combo_Ls100,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,100,,3,percentile,90.0,,50,7.0,9.999874131944445,2.0669292534722223,1.0,16.80021146099495,
18184,nsrdb_18184_clean.npz,False,,R0_I0_ref,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,0.08,5,mean_delta,,,1,16.0,9.999989149305556,2.0455186631944446,1.0,38.40004166671187,
18184,nsrdb_18184_clean.npz,False,,R1_hop,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,0.08,3,mean_delta,,,25,2.0,9.999989149305556,6.066779513888889,1.0,4.800005208338984,
18184,nsrdb_18184_clean.npz,False,,R2_basal_q90,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,,5,percentile,90.0,,1,19.0,9.999989149305556,2.045060763888889,1.0,45.60004947922036,
18184,nsrdb_18184_clean.npz,False,,R3_basal_mad,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,,5,mad,,2.5,1,9.0,9.999989149305556,2.046623263888889,1.0,21.60002343752543,
18184,nsrdb_18184_clean.npz,False,,R4_combo,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,,3,percentile,90.0,,25,6.0,9.999989149305556,2.2031336805555557,1.0,14.400015625016955,
18184,nsrdb_18184_clean.npz,False,,R5_combo_Ls100,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,100,,3,percentile,90.0,,50,1.0,9.999989149305556,6.082721354166667,1.0,2.400002604169492,
19088,nsrdb_19088_clean.npz,False,,R0_I0_ref,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,0.08,5,mean_delta,,,1,15.0,10.0,2.1768663194444446,1.0,36.0,
19088,nsrdb_19088_clean.npz,False,,R1_hop,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,0.08,3,mean_delta,,,25,1.0,10.0,7.211297743055556,1.0,2.4000000000000004,
19088,nsrdb_19088_clean.npz,False,,R2_basal_q90,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,,5,percentile,90.0,,1,19.0,10.0,2.074631076388889,1.0,45.599999999999994,
19088,nsrdb_19088_clean.npz,False,,R3_basal_mad,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,,5,mad,,2.5,1,6.0,10.0,2.3395182291666665,1.0,14.399999999999999,
19088,nsrdb_19088_clean.npz,False,,R4_combo,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,,3,percentile,90.0,,25,3.0,10.0,2.318142361111111,1.0,7.199999999999999,
19088,nsrdb_19088_clean.npz,False,,R5_combo_Ls100,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,100,,3,percentile,90.0,,50,1.0,10.0,7.211297743055556,1.0,2.4000000000000004,
19090,nsrdb_19090_clean.npz,False,,R0_I0_ref,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,0.08,5,mean_delta,,,1,18.0,9.999791666666667,2.0011111111111113,1.0,43.20090001875039,
19090,nsrdb_19090_clean.npz,False,,R1_hop,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,0.08,3,mean_delta,,,25,5.0,9.999791666666667,2.890813802083333,1.0,12.000250005208443,
19090,nsrdb_19090_clean.npz,False,,R2_basal_q90,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,,5,percentile,90.0,,1,18.0,9.999791666666667,2.0011111111111113,1.0,43.20090001875039,
19090,nsrdb_19090_clean.npz,False,,R3_basal_mad,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,,5,mad,,2.5,1,10.0,9.999791666666667,2.1362999131944442,1.0,24.000500010416886,
19090,nsrdb_19090_clean.npz,False,,R4_combo,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,,3,percentile,90.0,,25,8.0,9.999791666666667,2.890813802083333,1.0,19.200400008333506,
19090,nsrdb_19090_clean.npz,False,,R5_combo_Ls100,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,100,,3,percentile,90.0,,50,5.0,9.999791666666667,2.9765625,1.0,12.000250005208443,
19093,nsrdb_19093_clean.npz,False,,R0_I0_ref,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,0.08,5,mean_delta,,,1,18.0,9.999776475694444,2.0825065104166667,1.0,43.20096564658455,
