source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,92810,1798,11966,11966,20832,1,2.7036233181423612,3.5133211263020834,12016,10,10,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.14730878186968838,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,92810,1798,11966,11966,20832,1,2.7156689453125002,3.5012754991319444,11970,1728,1728,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.22035613112100363,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,92810,1798,11966,11966,20832,1,2.7101866319444445,3.5067578125,11991,322,322,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.04724807770133549,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,92810,1798,11966,11966,20832,1,2.7036233181423612,3.5133211263020834,12016,26,26,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.22035613112100363,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,92810,1798,11966,11966,20832,1,2.690279947916667,3.526664496527778,12066,26,26,0.39123393363010933,0.646218355141868,0.00141643059490085,0.29461756373937675,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,64251,5318,13421,13421,32307,1,6.931450195312499,4.830494249131944,13596,82,82,0.4368999500249875,0.575281803542673,0.0,0.015617191404297851,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,64251,5318,13421,13421,32307,0,nan,nan,,0,0,0.4368999500249875,0.575281803542673,0.0,0.015617191404297851,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,64251,5318,13421,13421,32307,1,6.9408110894097215,4.821133355034722,13573,789,789,0.4368999500249875,0.575281803542673,0.0,0.068215892053973,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,64251,5318,13421,13421,32307,1,6.617399088541666,5.144545355902777,14412,17,17,0.4368999500249875,0.575281803542673,0.0,0.004122938530734633,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,64251,5318,13421,13421,32307,1,6.921913519965277,4.840030924479167,13621,4,4,0.4368999500249875,0.575281803542673,0.0,0.068215892053973,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,64251,5318,13421,13421,32307,1,6.9038221571180545,4.858122287326389,13671,2,2,0.39864562718640684,0.6539681548114832,0.0,0.05259870064967516,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,77929,40699,49980,49980,73939,1,6.974501953124998,15.998553602430556,50061,194,194,0.3941412754815784,0.5772213910188475,0.0,0.012249859734430522,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,77929,40699,49980,49980,73939,0,nan,nan,,0,0,0.3941412754815784,0.5772213910188475,0.0,0.012249859734430522,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,77929,40699,49980,49980,73939,1,6.974501953124998,15.998553602430556,50061,155,155,0.3941412754815784,0.5772213910188475,0.0,0.010753693659996259,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,77929,40699,49980,49980,73939,0,nan,nan,,0,0,0.3941412754815784,0.5772213910188475,0.0,0.0,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,77929,40699,49980,49980,73939,0,nan,nan,,0,0,0.3941412754815784,0.5772213910188475,0.0,0.010753693659996259,
